business_type,cohort_date,province,industry_l1,industry_l2,industry_l3,primary_service,buuid,plan_created,charge_rate,principal_amount,total_amount_payable,total_amount_paid,plan_state
Company,2020-07-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1588156635457-a1e6f4c8-4106-446c-a991-be84d3736b09,2021-11-22 04:34:43,23,24000,31250,,collections_on_hold
Company,2020-07-01 00:00:00,Gauteng,Professional services,Other services,Other,Payment Request,1595335906078-6c903a35-1844-452b-b41e-f0d6f83c227e,2021-10-11 08:52:21,21,30000,73217,12658.59,open
Company,2020-07-01 00:00:00,North West,Home and repair,Asset repair,Automotive services,Card Machine,1595600287220-419590fd-37cc-4225-99ee-576343e1ff42,2021-09-09 08:41:59,22,23000,29950,17023.35,open
Sole Proprietor,2020-07-01 00:00:00,Gauteng,Leisure and entertainment,Public,Music/Cinema/Performing Arts,Card Machine,1595833673541-f89813a4-b24a-4364-8dd1-678b7a68f6ce,2021-10-29 14:21:38,22,65000,84550,12437.7,open
Company,2020-07-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Bakery,Card Machine,1595862068016-cd43c2c0-3ac4-41aa-a31e-b653ee72cd18,2021-09-14 17:24:37,21,38000,49450,17688.19,open
Company,2020-07-01 00:00:00,Gauteng,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Card Machine,1595947668116-6fcf455a-52eb-41be-82b6-edcdc5bbd0c6,2021-10-18 20:41:35,23,5500,7200,1872.43,open
Company,2020-08-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Sport,Sport & Fitness,Card Machine,1596269890347-0ad47ce9-1d19-482e-a228-ad73b8c2dc47,2021-09-22 15:28:59,22,32000,41650,5291,open
Sole Proprietor,2020-08-01 00:00:00,Limpopo,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1596223283552-0080b65e-6ca6-46a5-8937-2f8c11ac50ae,2021-11-24 03:07:55,24,40000,51650,,collections_on_hold
Sole Proprietor,2020-08-01 00:00:00,Gauteng,Retail,Retail home,Food/Beverage/Grocery,Card Machine,1583402662470-ac67525d-fd0a-4999-96ac-e1e2ab3f6ba4,2021-10-17 14:52:11,23,35000,45550,7592.87,open
Company,2020-08-01 00:00:00,Western Cape,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Card Machine,1597058476007-7000007c-7d1e-47da-9b78-5bc23ae97c7e,2021-11-10 08:20:10,26,40000,50850,5333.64,open
Company,2020-08-01 00:00:00,Western Cape,"Food, drink and hospitality",Sit-in,Restaurant,Card Machine,1598161007579-192f7c42-ffa1-4d2d-b189-e8c74380c7cf,2021-11-04 15:07:17,21,53000,68950,9217.32,open
Sole Proprietor,2020-08-01 00:00:00,Gauteng,Personal services,Personal services,Other Services,Card Machine,1582703538185-2f7084b5-8f03-49e6-a7ad-2ceaa96f0a1a,2021-11-18 18:42:04,18,9000,11750,,collections_on_hold
Company,2020-09-01 00:00:00,Eastern Cape,"Food, drink and hospitality",Sit-in,Café,Card Machine,1599140825799-44d0843e-2833-44e8-aa01-e8b826bcc0a1,2021-09-10 09:44:37,21,38000,51614,21593.67,open
Company,2020-09-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1599080587351-e6a5403a-3934-4b0a-b08f-47e20aa92d44,2021-10-21 07:53:07,15,10000,12850,4257,open
Sole Proprietor,2020-09-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1598130766418-771f8c8b-d821-4e5e-b44c-964fd55e2e13,2021-10-28 17:09:48,23,63000,81950,14378.68,open
Company,2020-09-01 00:00:00,Gauteng,Professional services,Other services,Other,Card Machine,1600254560469-34ba2980-51bf-40fd-8afa-33036c5da57b,2021-11-15 05:27:05,23,98000,127450,6851.36,open
Sole Proprietor,2020-06-01 00:00:00,Western Cape,Professional services,Creative services,Photography/Art/Graphics/Design,Payment Request,1591146828456-39cda131-8c48-4ed1-8cf9-d53d36f299dc,2021-10-29 05:22:38,28,10000,12250,4822.44,open
Sole Proprietor,2020-06-01 00:00:00,Western Cape,"Food, drink and hospitality",Takeaway,Bakery,Card Machine,1591767955132-8c0923c1-14ad-4eb8-a101-108ff65dd6f7,2021-11-16 18:45:37,24,9000,11750,1286.54,open
Sole Proprietor,2020-06-01 00:00:00,Western Cape,Retail,Retail art,Craft market,Card Machine,1592288774385-cad9392f-8933-4374-ba9f-8e5d01899299,2021-11-22 13:02:50,25,20000,25850,,collections_on_hold
Company,2020-06-01 00:00:00,Kwazulu-Natal,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Card Machine,1592394509951-386a655d-063c-44ab-bd0c-decc3e872cf5,2021-10-14 09:09:39,24,35000,42750,21997.86,open
Company,2020-06-01 00:00:00,Mpumalanga,Professional services,Creative services,Photography/Art/Graphics/Design,Card Machine,1592568955472-534550d1-8dd8-47c1-8de7-17cff6b9cd91,2021-09-15 09:30:27,23,10000,42390,42089.81,finished
Sole Proprietor,2020-06-01 00:00:00,Eastern Cape,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1592571375599-03111a5a-51d2-4f5e-b519-e0409e44f5d4,2021-10-01 14:51:00,21,15500,41123,11916.34,open
Sole Proprietor,2020-06-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Restaurant,Card Machine,1593162492332-15873019-8eba-4c73-abe5-c6ca9fbcb938,2021-10-22 03:36:43,22,24000,31254,1601.6,open
Sole Proprietor,2020-06-01 00:00:00,North West,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1593157874611-191e47ed-5bf2-47cd-bf4b-e5c7464def9f,2021-09-07 08:35:54,7,20000,25850,10563.56,open
Company,2020-06-01 00:00:00,Gauteng,Home and repair,Home repair,Cleaning/Laundry Services,Card Machine,1593468414625-a8323037-65f1-4803-b924-13ae49eecc34,2021-11-09 08:21:54,23,35000,45550,5226.71,open
Sole Proprietor,2020-07-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Caterer,Payment Request,1593358801136-6ed7a350-bad2-4b31-a555-156a429279d8,2021-10-04 12:39:50,10,5000,6550,1075,open
Company,2020-07-01 00:00:00,Mpumalanga,Retail,Other retail,Other Retail,Card Machine,1543575727002-fe959afb-039e-4075-9f6c-68c0db5cefa5,2021-09-08 11:59:15,21,37000,69510,16498.07,open
Sole Proprietor,2020-07-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Restaurant,Card Machine,1595100712816-c06150b8-9f58-4a8c-9d9a-1dd46db8fc52,2021-11-18 07:09:00,14,25000,28551,,collections_on_hold
Sole Proprietor,2020-07-01 00:00:00,Mpumalanga,Professional services,Legal services,Accounting/Auditing/Bookkeeping,Card Machine,1593726507379-e40ad346-049f-4154-832f-807ac0f8fabb,2021-11-22 14:36:38,25,28000,36170,,collections_on_hold
Sole Proprietor,2020-07-01 00:00:00,Western Cape,Retail,Other retail,Other Retail,Card Machine,1595325115373-da67032a-245e-414e-915e-f2e189c01c4d,2021-11-29 15:44:31,19,5000,6550,1162.8,open
Sole Proprietor,2020-07-01 00:00:00,Western Cape,Retail,Retail leisure,Electronics/Computer Games,Card Machine,1595323334723-91241c9b-42fc-40ab-8d17-098b61e0c4ed,2021-11-24 15:22:54,25,20000,25850,,collections_on_hold
Sole Proprietor,2020-08-01 00:00:00,Kwazulu-Natal,Retail,Retail apparel,Clothing and Accessories,Card Machine,1596123027634-3150e4a7-d596-46b0-85bb-b340d3ba7445,2021-11-29 07:22:50,23,29000,37750,1485.8,open
Company,2020-08-01 00:00:00,Gauteng,Travel and tourism,Other tourism,Other,Card Machine,1577043625341-eeef7072-c5fc-403f-b1d2-3a6bdd04bcb8,2021-11-29 12:36:23,23,17000,22150,144.9,open
Company,2020-08-01 00:00:00,North West,"Food, drink and hospitality",Sit-in,Café,Card Machine,1597254189549-040286f2-7da6-47e3-a621-fda9b2b3480b,2021-09-13 12:52:25,21,37000,48150,10457.98,open
Sole Proprietor,2020-08-01 00:00:00,Gauteng,Retail,Retail home,Hardware shop,Card Machine,1597857836803-7cafc503-af52-46cd-b4ae-a44d542cd726,2021-09-15 18:21:54,21,23000,29950,13314.4,open
Sole Proprietor,2020-08-01 00:00:00,Western Cape,Retail,Retail home,Furniture / Home goods,Card Machine,1597673961668-b55b5303-2a3d-462f-a5c7-84a1e3d030d2,2021-10-10 09:36:10,24,58000,145964,26379.12,open
Company,2020-09-01 00:00:00,Mpumalanga,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1599046623805-6b2f4a68-c01e-470e-a6c7-3297351bb14d,2021-11-19 09:59:54,24,9500,12400,,collections_on_hold
Company,2020-09-01 00:00:00,Limpopo,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1599170956116-c2a7907a-b658-407b-b731-c02e5fc76082,2021-10-13 21:37:31,9,2500,3100,2105.27,open
Company,2020-09-01 00:00:00,Gauteng,Professional services,Creative services,Advertising,Card Machine,1528755821128-48fccfb4-f16a-4a12-9ec0-2df3355a3e55,2021-10-08 02:20:14,21,31000,40350,17738.7,open
Sole Proprietor,2020-09-01 00:00:00,Free State,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1599840367461-9d6cb343-0e15-4f3a-8083-652ee138decc,2021-11-02 11:02:43,9,2500,3100,750.6,open
Company,2020-09-01 00:00:00,Eastern Cape,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Card Machine,1600253502836-a86f4ca2-f999-45c9-bd1b-327457703e45,2021-10-06 08:29:43,23,10000,12250,3466.21,open
Sole Proprietor,2020-09-01 00:00:00,Gauteng,Retail,Retail art,Antiques & Restorations,Card Machine,1600441075794-c77f89d4-eb6f-41d4-bc1a-ea2e2c53a1cb,2021-11-22 11:25:17,24,7500,9800,,collections_on_hold
Sole Proprietor,2020-09-01 00:00:00,Eastern Cape,Home and repair,Asset repair,Automotive services,Card Machine,1600710369021-8f7e0745-e4e7-4146-84ec-afdec567ed8c,2021-10-20 12:10:14,23,13500,20787,7401.4,open
Company,2020-10-01 00:00:00,Western Cape,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Card Machine,1568310139590-c1de22f0-a887-470d-b131-005440510eed,2021-10-27 08:59:25,23,17000,21980,2980.8,open
Sole Proprietor,2020-10-01 00:00:00,Western Cape,Retail,Retail home,Hardware shop,Card Machine,1601915458945-26db0a19-45cf-4416-a30c-44b7f253389d,2021-11-03 09:58:25,19,5000,6150,2542.01,open
Company,2020-07-01 00:00:00,Eastern Cape,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1593907662295-2bc458d5-4807-42cf-818d-00625c6a2434,2021-10-30 08:39:47,23,43000,55950,11103.25,open
Sole Proprietor,2020-07-01 00:00:00,Gauteng,Professional services,Other services,Other,Card Machine,1594728570193-5614f5f0-738e-4db3-bcc5-3ed3b433c2b7,2021-10-22 13:16:50,23,27000,35167,10719.66,open
Company,2020-07-01 00:00:00,Kwazulu-Natal,"Healthcare, beauty and fitness",Health,Dentist/Orthodontist,Card Machine,1594392787781-17822896-339c-4d6a-8259-ba94e65ab20c,2021-11-18 13:21:01,25,8000,10370,,collections_on_hold
Sole Proprietor,2020-07-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1594795824313-7609f740-b205-45c6-bbea-85f35701869a,2021-11-29 06:23:19,19,20000,24450,2354.1,open
Company,2020-07-01 00:00:00,Gauteng,Retail,Retail apparel,Clothing and Accessories,Card Machine,1595666244330-d2a93c90-7e48-4f6a-a0ff-94cd9642fc27,2021-11-03 16:07:53,7,7000,9010,1907.43,open
Sole Proprietor,2020-07-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1596115576349-72cd64d2-6bf8-46b7-8b2c-14760de5c95f,2021-09-01 18:47:17,21,14000,18250,8775.9,open
Sole Proprietor,2020-07-01 00:00:00,Mpumalanga,Home and repair,Asset repair,Automotive services,Card Machine,1596134983149-a9892490-0568-4549-96d1-5646fce7e800,2021-11-17 07:14:27,24,20000,25850,2366.88,open
Company,2020-07-01 00:00:00,Eastern Cape,Home and repair,Home repair,Cleaning/Laundry Services,Card Machine,1595864601575-ad44b376-ed2e-4b3d-b7ec-37df73ef87ef,2021-10-27 11:43:09,23,18000,23450,7257.19,open
Company,2020-08-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1596994750709-be30157d-f6b8-490f-8981-0f4f45c421e1,2021-10-04 08:07:16,22,15500,20200,1907.4,open
Sole Proprietor,2020-09-01 00:00:00,Western Cape,Retail,Retail apparel,Clothing and Accessories,Card Machine,1598947999844-23f5aeaa-caa1-4b4b-ad14-d4d9dc752ee4,2021-09-03 20:15:27,22,176000,294138,48302.1,open
Company,2020-09-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Wine Farm,Card Machine,1599339438090-de8cb82d-283c-494c-a5f3-e71b5a26d404,2021-11-18 09:53:50,15.26,180000,223200,5296.08,open
Sole Proprietor,2020-09-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Payment Request,1599559157006-6f8e3ce3-9f0c-4cf1-a57d-bdc14d2f0f7c,2021-11-18 14:10:32,17,5000,6550,,collections_on_hold
Sole Proprietor,2020-09-01 00:00:00,Eastern Cape,"Food, drink and hospitality",Takeaway,Bakery,Card Machine,1599550662924-f7c0db31-b78c-4666-87e4-27503997f8ea,2021-11-09 13:38:57,14,75000,91550,12028.8,open
Sole Proprietor,2020-09-01 00:00:00,Free State,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1599499869946-67c8acff-715a-46aa-a38e-e210eb4fc626,2021-10-01 21:21:22,22,61000,79350,4920.3,open
Sole Proprietor,2020-09-01 00:00:00,Gauteng,Retail,Retail home,Food/Beverage/Grocery,Card Machine,1599725442492-75a35ff8-0ce5-494e-a7be-f1b8b62046d0,2021-10-14 08:57:01,24,12500,16300,3348,open
Sole Proprietor,2020-09-01 00:00:00,Western Cape,Retail,Retail art,Craft market,Card Machine,1600063799348-0771d7d5-b94f-4ae5-aee0-901e1772de34,2021-10-20 15:45:20,25,9500,12305,3367.5,open
Company,2020-09-01 00:00:00,,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Payment Request,1600172593452-598ce252-59b1-442a-b2f8-7beaa29ecc32,2021-09-09 10:19:19,8,50000,116292,37074.32,open
Sole Proprietor,2020-09-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1600332283416-4dbb3fdd-e5a7-488b-a7ea-0cd26acda5a3,2021-09-22 13:06:46,19,50000,64550,24559.78,open
Company,2020-09-01 00:00:00,North West,Leisure and entertainment,Private,Events,Card Machine,1599861545336-be685e43-f508-48d1-a8f5-04dea8968306,2021-09-27 14:41:38,21,34000,41530,31611.09,open
Sole Proprietor,2020-09-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1600603419404-a489f83e-a798-49e5-92a6-2e5f6e316845,2021-10-14 14:21:01,24,11000,14350,2594.4,open
Company,2020-09-01 00:00:00,Gauteng,Retail,Retail art,Craft market,Card Machine,1593771041842-b917c7a3-98b1-4f51-a4ea-a0ab52455943,2021-10-04 09:41:05,16,12500,16300,1420.32,open
Company,2020-09-01 00:00:00,Mpumalanga,Retail,Retail art,Craft market,Card Machine,1601296634983-180a890d-3874-41d8-a73a-770c8f2e7843,2021-11-03 21:27:16,23,51000,80143,15814.57,open
Sole Proprietor,2020-10-01 00:00:00,Gauteng,Retail,Retail art,Craft market,Card Machine,1601638808316-e3659c73-2550-43d2-a3e1-3e2fb19d67e3,2021-10-12 07:30:45,18,25000,32997,7269.66,open
Sole Proprietor,2020-10-01 00:00:00,Free State,NPO,NPO,Religious Organizations,Card Machine,1602018083106-c429e668-7144-4aa9-8ac8-eeab1bd3a789,2021-11-23 15:40:24,23,9000,11750,,collections_on_hold
Sole Proprietor,2020-10-01 00:00:00,Gauteng,Professional services,Office services,Landscaping Services,Card Machine,1601999431459-d538f242-26ec-4071-9d9d-fe1e844a9b86,2021-10-07 14:08:03,23,8000,71435,44608.96,open
Sole Proprietor,2020-10-01 00:00:00,Mpumalanga,Retail,Other retail,Other Retail,Card Machine,1602248200969-6e837cfe-03bb-4df3-b1c5-61c854bfad7f,2021-10-22 16:00:36,24,75000,96050,21225.6,open
Company,2020-10-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1603177181947-760777b2-7ac6-428a-8b4d-facb40e0037f,2021-10-21 14:00:13,6,9000,11030,11030,finished
Company,2020-10-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1603177181947-760777b2-7ac6-428a-8b4d-facb40e0037f,2021-11-22 14:27:51,10,37000,45930,,collections_on_hold
Sole Proprietor,2020-10-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1603349361338-30023e5c-569b-4568-93a9-c548690a41d8,2021-10-20 05:49:40,23,68000,88450,10808.85,open
Sole Proprietor,2020-06-01 00:00:00,Eastern Cape,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1593077703028-568ebcec-de37-4e30-8916-bb4eb9bce88b,2021-10-24 05:00:50,22,14500,21538,8698.58,open
Sole Proprietor,2020-07-01 00:00:00,Mpumalanga,Home and repair,Asset repair,Automotive services,Card Machine,1593964503770-5d3d7fdf-9efa-4ca1-8353-2d707af746a8,2021-11-03 19:37:27,18,85000,177518,18699.67,open
Company,2020-07-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1594113870822-cbd9d3b4-0b5b-4d1b-bebc-c132c31eb0d9,2021-11-17 12:41:50,23,182000,236650,14586.83,open
Company,2020-07-01 00:00:00,Gauteng,Personal services,Personal services,Other Services,Payment Request,1594810556354-8bc40199-62ce-4b22-9aef-30237d61f68f,2021-11-17 15:54:17,8,60000,74450,4596.64,open
Company,2020-07-01 00:00:00,Western Cape,"Food, drink and hospitality",Takeaway,Bakery,Card Machine,1595282121192-b716e908-9ff5-4e1c-a59b-fc495f57916f,2021-11-24 15:23:16,9,52000,67650,,collections_on_hold
Sole Proprietor,2020-07-01 00:00:00,Western Cape,Retail,Retail apparel,Jewelry and watches,Card Machine,1594415599082-e0c4ad40-c0ed-4faa-81f3-693e3ead5fb4,2021-10-22 07:20:24,24,16500,21500,5364,open
Company,2020-07-01 00:00:00,Limpopo,Home and repair,Home repair,Electrical services,Card Machine,1595411596942-39f80982-1d7d-4976-8723-770025ca6e33,2021-11-11 12:45:59,21,2500,3100,471.45,open
Company,2020-07-01 00:00:00,Kwazulu-Natal,"Food, drink and hospitality",Sit-in,Restaurant,Card Machine,1596195133630-84decad7-90fc-4181-942b-b4f63abcd086,2021-10-04 16:22:47,18,40000,207512,39299.04,open
Sole Proprietor,2020-08-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Caterer,Card Machine,1596446143848-8847f901-356f-4519-b024-2a1a14b64e86,2021-09-23 17:06:52,21,7000,9150,1866.69,open
Sole Proprietor,2020-08-01 00:00:00,Gauteng,Retail,Other retail,Pet store,Card Machine,1596728734966-a4f4a5ee-7390-4ad1-b99e-ad364ee0f5b0,2021-11-16 20:34:17,24,10000,13050,1822.56,open
Sole Proprietor,2020-08-01 00:00:00,Free State,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1596902858109-9ee8489c-5cf2-48ad-83f2-49632f7e9b28,2021-11-08 17:14:41,24,13000,16950,2750.4,open
Sole Proprietor,2020-08-01 00:00:00,North West,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1582987659583-55919c78-653c-4c69-81bb-86ebdf3eea2e,2021-09-13 10:22:52,24,7000,8590,5672.76,open
Company,2020-08-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1598260387230-b0c5f7f9-85f7-4626-985f-dd3cca86f197,2021-11-24 05:36:31,5,6000,7850,,collections_on_hold
Company,2020-09-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1599132734607-6829e100-d201-4a0a-8c23-780922851807,2021-11-04 17:58:22,27,35000,43800,9081.45,open
Company,2020-09-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1599292546189-53bff5c6-a5ef-4208-ac5c-963d68ea7808,2021-10-14 12:24:38,19,30000,38750,8402.75,open
Company,2020-09-01 00:00:00,Western Cape,Retail,Retail apparel,Clothing and Accessories,Card Machine,1599570983137-d649f200-659e-4b6b-8343-beefeaec60fa,2021-11-15 08:36:01,17,2500,3050,1030.37,open
Sole Proprietor,2020-09-01 00:00:00,Eastern Cape,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1599646091219-fdad0cd7-1187-4a48-8dba-9a768f17576f,2021-09-29 11:45:45,16,80000,104050,104050,finished
Sole Proprietor,2020-09-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Restaurant,Card Machine,1578297868140-eebb0ee7-5439-42b9-a815-e5892ad1425a,2021-11-29 07:49:39,9.28,52000,62400,1453.89,open
Sole Proprietor,2020-09-01 00:00:00,Kwazulu-Natal,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1599894615127-dee109ee-f0ca-418d-9de6-6da9cced2c6d,2021-11-04 15:37:30,25,15000,19400,3895.25,open
Sole Proprietor,2020-09-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1601100602923-37a581ae-d5a8-4a22-95a9-801ddf2b6023,2021-10-06 12:37:15,26,20000,119602,119602,finished
Sole Proprietor,2020-09-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1601100602923-37a581ae-d5a8-4a22-95a9-801ddf2b6023,2021-10-13 14:18:12,24,71000,215687,54403.44,open
Sole Proprietor,2020-10-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Restaurant,Card Machine,1548071906032-311d6c3d-6294-482b-b71e-9fbd486664f1,2021-10-22 04:06:39,23,39000,74546,11982.54,open
Company,2020-10-01 00:00:00,Gauteng,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Card Machine,1601990867008-9198aa40-a4ee-4332-895b-9391907211bb,2021-11-19 08:14:45,7,35000,39951,,collections_on_hold
Company,2020-10-01 00:00:00,North West,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1602099965580-757916cf-b231-496d-a2bd-a52bd5783eeb,2021-11-22 14:08:44,18,20000,40612,3353.29,open
Sole Proprietor,2020-10-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1602236523303-6928151d-9c54-4d9b-bd24-be6eaef7044d,2021-10-05 17:40:58,22,11500,15000,4264.7,open
Sole Proprietor,2020-10-01 00:00:00,Western Cape,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Card Machine,1602485690923-97d236c2-ebdf-41fd-9b22-a38aea22bf76,2021-09-01 13:23:41,22,10500,13700,7971.7,open
Sole Proprietor,2020-10-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1601640303964-6597cd48-65bd-4534-8d4b-506b8f44dc77,2021-09-12 15:55:16,19,16000,20850,9989.79,open
Sole Proprietor,2020-10-01 00:00:00,Eastern Cape,Retail,Retail home,Furniture / Home goods,Card Machine,1602064621352-c518d1bc-8aec-44a0-a0ea-9fc4c730d8c3,2021-10-05 09:14:02,24,128000,231537,60168.48,open
Sole Proprietor,2020-10-01 00:00:00,Western Cape,Home and repair,Home repair,Cleaning/Laundry Services,Card Machine,1574146583227-08eee752-59e7-406a-89d2-743e43ed52af,2021-10-01 15:55:29,21,4500,5900,2003.4,open
Company,2020-06-01 00:00:00,Gauteng,Retail,Retail leisure,Toy/Hobby/Games,Card Machine,1592898012457-ab9dde86-3156-4b5b-a886-ab67b3b994f9,2021-11-10 15:25:38,23,158000,205450,16107.59,open
Company,2020-07-01 00:00:00,Western Cape,"Food, drink and hospitality",Sit-in,Café,Card Machine,1593160659466-08e15310-ba80-4865-854c-3ba5960ff94b,2021-09-14 06:21:49,15,14000,17754,11389.31,open
Sole Proprietor,2020-07-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1583746725252-b6207b27-66d7-49cd-8abd-852f72be712c,2021-11-02 17:28:57,17,4500,5540,2356.2,open
Sole Proprietor,2020-07-01 00:00:00,Kwazulu-Natal,"Food, drink and hospitality",Takeaway,Bakery,Card Machine,1594381016707-dddf3145-7645-4db0-8aff-cf95fd0bec2c,2021-10-13 10:11:30,16,20000,26050,7473.52,open
Company,2020-07-01 00:00:00,Limpopo,Home and repair,Asset repair,Automotive services,Card Machine,1594391744271-1f08ba66-eb6d-4836-b011-6add4ff1cbd9,2021-11-03 10:29:55,24,7000,9150,1768.8,open
Company,2020-07-01 00:00:00,Eastern Cape,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1499534519396-a0c31668-4995-4ef0-b6b3-562fe2c84d67,2021-10-14 10:23:24,21,100000,130050,32557.23,open
Company,2020-07-01 00:00:00,Gauteng,Home and repair,Asset repair,Computer Services,Payment Request,1595072897190-99f8cbc0-8ed4-4aca-aac4-ebdcaf56cbe7,2021-10-26 11:08:33,16,5000,6150,512,open
Company,2020-07-01 00:00:00,Free State,Home and repair,Asset repair,Automotive services,Card Machine,1595837005737-31c6db08-8d45-468d-83f0-598a7172aec9,2021-10-25 13:48:19,6,15000,19550,2907.19,open
Company,2020-08-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Café,Card Machine,1597314155968-89f559fc-50bb-4098-9220-f141ae04b4ac,2021-11-27 14:50:30,20,15000,19550,168.2,open
Sole Proprietor,2020-08-01 00:00:00,Eastern Cape,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1556718420107-d4505298-37b0-4804-9f5e-c949164bf147,2021-10-14 05:43:21,19,11000,31413,7564.75,open
Sole Proprietor,2020-08-01 00:00:00,Kwazulu-Natal,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1598187141139-65d9c755-7f8b-4711-8b6a-9cbc153d7794,2021-10-13 14:03:06,20,14000,18250,6173,open
Sole Proprietor,2020-08-01 00:00:00,Kwazulu-Natal,Retail,Retail leisure,Sporting Goods,Card Machine,1598608655769-718eb275-6cc9-4599-a14b-b9bb274e47d7,2021-10-06 07:24:01,23,40000,51250,13601.28,open
Sole Proprietor,2020-09-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Payment Request,1486639693269-fcb46702-2a65-4f05-ba1d-e4b310075f94,2021-11-09 12:11:06,23,213000,276950,28277.29,open
Sole Proprietor,2020-09-01 00:00:00,Eastern Cape,Retail,Retail transport,Automotive Parts/Accessories,Card Machine,1600517349041-4de41de4-e510-42c8-8e07-cebeef1a5efd,2021-09-28 14:16:49,15.74,340000,418200,125820.61,open
Company,2020-09-01 00:00:00,Gauteng,Retail,Retail home,Furniture / Home goods,Card Machine,1600605404019-64b9b34d-c56b-40c3-b7f2-ec21cb045766,2021-10-27 17:26:54,6,57000,74150,5191.2,open
